filename,split,total_diff_pixels,Bareland_fn,Bareland_fp,Rangeland_fn,Rangeland_fp,Developed_fn,Developed_fp,Road_fn,Road_fp,Tree_fn,Tree_fp,Water_fn,Water_fp,Agriculture_fn,Agriculture_fp,Building_fn,Building_fp
duesseldorf_70.tif,train,269447,0,0,82369,34133,68254,124377,66409,36740,24366,34062,369,0,0,10890,27680,29245
tonga_2.tif,train,400531,35724,0,119399,152237,40293,169915,4791,19518,74885,43867,91149,18,0,38,34290,14938
tokyo_22.tif,train,373018,0,0,29648,47059,175368,136422,71992,20138,10338,18792,2135,0,52060,26,31477,150581
viru_35.tif,train,283855,6566,5485,100824,36848,17551,161216,10944,1595,32959,13686,2084,5677,110896,26151,2031,33197
pisco_4.tif,train,407877,0,222,89408,185979,16676,155820,11630,4384,61735,15591,0,39726,217702,4494,10726,1661
melbourne_47.tif,train,332324,0,0,129661,10643,66017,182862,46019,29275,48572,78076,0,0,0,0,42055,31468
dortmund_37.tif,train,125570,0,0,33751,45089,29625,14839,8817,24580,19792,16572,23,0,31771,20918,1791,3572
daressalaam_41.tif,train,273245,0,0,89973,14511,80311,113485,15322,15964,32826,66572,1078,208,0,0,53735,62505
rio_3.tif,train,473918,0,0,169557,14088,101644,269702,104051,7627,29884,46602,2567,0,0,0,66215,135899
coxsbazar_67.tif,train,216843,6136,0,164251,37240,12713,350,0,983,4326,156717,17615,11824,11802,8982,0,747
dolnoslaskie_35.tif,train,317259,138312,49,91593,56224,19763,120093,15175,3621,8684,107198,27351,17916,3708,5888,12673,6270
bielefeld_23.tif,train,354920,0,0,95489,39517,115334,160025,57162,20110,42594,51548,0,11,0,0,44341,83709
aachen_63.tif,train,275424,0,0,90911,105109,49026,58288,27879,11666,75388,14550,94,0,6673,45679,25453,40132
kyoto_2.tif,train,484906,0,0,61121,6716,78162,238410,226224,29602,20170,34964,0,0,870,137071,98359,38143
lima_42.tif,train,908039,872494,0,698,80,3746,872132,13434,6608,384,390,0,0,0,28679,17283,150
lambayeque_40.tif,train,137679,0,8410,10765,18,38434,94973,60704,6062,9819,18207,327,16,807,0,16823,9993
daressalaam_34.tif,train,297885,0,0,67996,28253,66142,196259,73277,25922,27405,10424,0,0,0,27,63065,37000
maputo_15.tif,train,239731,0,0,8365,2485,65889,158449,5352,36758,18238,13041,0,655,0,0,141887,28343
swietokrzyskie_33.tif,train,206909,0,0,108381,40738,6952,957,6122,5220,21374,34938,0,0,63448,124242,632,814
swietokrzyskie_3.tif,train,332474,0,0,84492,224415,0,671,9567,418,4928,12757,0,0,233181,93854,306,359
daressalaam_37.tif,train,314790,0,0,41597,3675,132177,127436,85852,38458,17839,25925,0,0,0,7718,37325,111578
baybay_56.tif,train,344760,41405,381,36475,138700,39897,93574,3739,7943,30453,27147,79278,21645,101082,14657,12431,40713
christchurch_34.tif,train,302573,0,0,133410,41617,82802,118808,12854,26587,45966,51703,466,0,0,0,27075,63858
lubuskie_2.tif,train,423568,0,0,360823,42124,11426,349,2864,2369,37174,13888,0,0,0,363494,11281,1344
aachen_33.tif,train,314120,0,0,97418,15143,78885,179454,81756,17870,26295,16049,342,0,0,0,29424,85604
tyrolw_52.tif,train,312298,0,0,133743,20370,24538,180833,110458,9281,11277,61963,0,0,0,10188,32282,29663
dhaka_43.tif,train,183012,0,25,53536,19921,38988,84025,12193,10079,27294,48376,2970,7362,0,214,48031,13010
monrovia_27.tif,train,471240,0,0,110884,260095,23763,60958,379,11046,19823,94344,10634,29014,287378,880,18379,14903
dhaka_50.tif,train,267563,0,0,48490,60458,83143,103391,38330,12485,41743,27542,7562,21156,0,0,48295,42531
duesseldorf_60.tif,train,276937,13290,0,42621,129447,26732,56004,12800,10966,24842,46112,0,241,145820,25312,10832,8855
daressalaam_80.tif,train,337705,0,0,120000,73005,60992,120727,88379,30223,34360,44839,0,216,15263,22074,18711,46621
ica_4.tif,train,259425,0,13,51968,3525,57939,147020,36497,29363,15307,52824,22497,20,0,0,75217,26660
coxsbazar_37.tif,train,307770,18120,0,212840,52679,20086,6040,0,2280,3428,213274,22337,706,27848,31949,3111,842
lima_27.tif,train,296891,0,0,64635,78154,66591,152066,12801,13250,47241,30760,6954,0,21523,4029,77146,18632
piura_49.tif,train,205294,10074,0,19293,12628,71815,105145,34313,19056,22678,30196,2729,0,2122,5,42270,38264
duesseldorf_1.tif,train,350302,14750,0,140622,44316,85004,108476,33041,17944,42951,115745,1272,0,258,17330,32404,46491
rotterdam_4.tif,train,295722,0,0,22105,23498,54409,127015,82475,27120,39760,56686,32602,1356,0,3797,64371,56250
abancay_33.tif,train,436839,0,2,241821,22805,50424,302712,57100,14245,8645,41758,0,8892,17210,866,61639,45559
podlaskie_5.tif,train,266240,0,0,59098,164267,7252,7371,0,8759,4646,61986,5094,4399,189217,15904,933,3554
piura_33.tif,train,307753,0,0,175412,30966,9666,92735,53098,10092,36729,142882,5756,3347,27092,27731,0,0
monrovia_72.tif,train,342630,0,0,219487,46736,30563,104830,38680,3890,21247,153438,0,6595,8440,5087,24213,22054
melbourne_1.tif,train,384073,0,0,131759,83170,70508,209680,52073,58125,77713,21410,20800,7628,0,625,31220,3435
rosario_2.tif,train,372645,0,0,166588,12035,55088,250093,17467,23822,26280,50617,276,0,0,0,106946,36078
rotterdam_33.tif,train,340999,0,0,60057,20764,146153,112687,104192,38424,1044,11537,0,1215,0,71059,29553,85313
kyoto_25.tif,train,347243,0,0,53248,59006,52748,204690,83638,15756,38475,22618,105,1198,22061,1850,96968,42125
shanghai_67.tif,train,301450,0,0,47183,67246,67716,113961,60566,13118,36419,33772,0,0,0,54256,89566,19097
zanzibar_35.tif,train,296095,0,0,115304,148891,6157,12198,10441,2544,54784,110873,0,1745,105288,13439,4121,6405
daressalaam_49.tif,train,335160,0,0,6891,6955,244697,66553,32253,17046,13498,14968,740,0,0,0,37081,229638
dowa_2.tif,train,190038,0,0,44933,12112,46822,29634,10046,2090,25247,65968,0,1657,51298,69763,11692,8814
dhaka_2.tif,train,356051,0,0,226231,12043,38547,177983,30162,7462,15893,49716,13227,37434,0,0,31991,71413
monrovia_16.tif,train,239838,0,534,172340,17735,18034,70259,3265,5713,12455,83369,21004,53904,0,1201,12740,7123
pointenoire_4.tif,train,248052,0,0,18726,60,112183,119384,44581,16238,44677,17958,0,0,0,0,27885,94412
swietokrzyskie_40.tif,train,148153,0,0,14065,87130,7870,2202,2219,2299,41144,11012,0,0,65903,44798,16952,712
lima_18.tif,train,233026,0,77,38186,4254,26706,183842,40828,13763,3193,14168,0,7041,101694,6534,22419,3347
pomorskie_16.tif,train,173321,0,0,129803,28404,7341,9106,4121,2189,11617,126876,15660,2865,2011,2407,2768,1474
muenster_19.tif,train,327431,0,0,21502,204514,23193,9462,4369,24026,26075,75794,767,0,248823,12269,2702,1366
dhaka_26.tif,train,288916,0,0,121295,13758,54570,163678,28471,20644,23357,19631,5474,19399,0,0,55749,51806
ngaoundere_61.tif,train,296019,0,0,155433,77513,25736,174333,11706,17969,12627,10659,0,0,76433,6617,14084,8928
mahe_10.tif,train,227809,0,0,43962,9891,38653,162842,43522,14133,10540,23654,8137,0,1,0,82994,17289
rotterdam_24.tif,train,338529,0,0,22852,13892,139243,134609,68316,42017,15672,43779,25314,894,0,7805,67132,95533
koeln_63.tif,train,305510,0,0,39486,8583,83585,184720,44496,33817,25255,25084,429,0,0,0,112259,53306
chincha_23.tif,train,388951,0,7368,51501,10992,23210,314297,9101,6049,18787,26751,2747,238,218504,8456,65101,14800
kyoto_56.tif,train,362408,0,0,35412,31209,90801,206835,78647,24272,20363,34204,27037,0,35135,1253,75013,64635
