filename,split,img_height,img_width,total_valid_pixels,correct_pixels,noisy_pixels,accuracy,noise_ratio,mIoU,mean_precision,mean_recall,most_misclassified_class_id,most_misclassified_class_name,edge_error_pixels,non_edge_error_pixels,edge_total_pixels,edge_error_rate,non_edge_error_rate,Barren_gt_pixels,Barren_pred_pixels,Barren_iou,Barren_precision,Barren_recall,Barren_tp,Barren_fp,Barren_fn,Rangeland_gt_pixels,Rangeland_pred_pixels,Rangeland_iou,Rangeland_precision,Rangeland_recall,Rangeland_tp,Rangeland_fp,Rangeland_fn,Developed_gt_pixels,Developed_pred_pixels,Developed_iou,Developed_precision,Developed_recall,Developed_tp,Developed_fp,Developed_fn,Road_gt_pixels,Road_pred_pixels,Road_iou,Road_precision,Road_recall,Road_tp,Road_fp,Road_fn,Tree_gt_pixels,Tree_pred_pixels,Tree_iou,Tree_precision,Tree_recall,Tree_tp,Tree_fp,Tree_fn,Water_gt_pixels,Water_pred_pixels,Water_iou,Water_precision,Water_recall,Water_tp,Water_fp,Water_fn,Agriculture_gt_pixels,Agriculture_pred_pixels,Agriculture_iou,Agriculture_precision,Agriculture_recall,Agriculture_tp,Agriculture_fp,Agriculture_fn,Building_gt_pixels,Building_pred_pixels,Building_iou,Building_precision,Building_recall,Building_tp,Building_fp,Building_fn,confusion_rank1_gt,confusion_rank1_pred,confusion_rank1_pixels,confusion_rank2_gt,confusion_rank2_pred,confusion_rank2_pixels,confusion_rank3_gt,confusion_rank3_pred,confusion_rank3_pixels
dolnoslaskie_22.tif,train,1024,1024,1048576,649148,399428,0.6191,0.3809,0.3683,0.5255,0.6739,1,Rangeland,43207,356221,76270,0.5665,0.3664,0,0,N/A,N/A,N/A,0,0,0,632654,445440,0.5513,0.8601,0.6056,383138,62302,249516,104546,120621,0.2844,0.4133,0.4769,49857,70764,54689,62455,50807,0.4314,0.6719,0.5466,34137,16670,28318,80645,88123,0.5541,0.6829,0.7462,60176,27947,20469,0,7437,0.0000,0.0000,N/A,0,7437,0,28446,235718,0.1207,0.1207,1.0000,28446,207272,0,139830,100430,0.6359,0.9299,0.6679,93394,7036,46436,Rangeland,Agriculture,187490,Developed,Rangeland,37245,Rangeland,Tree,27316
aachen_6.tif,train,1000,1000,1000000,633867,366133,0.6339,0.3661,0.4974,0.6511,0.6942,1,Rangeland,113793,252340,205511,0.5537,0.3176,0,0,N/A,N/A,N/A,0,0,0,418770,230473,0.4212,0.8349,0.4595,192431,38042,226339,164675,249180,0.3505,0.4311,0.6523,107412,141768,57263,92765,77418,0.4748,0.7077,0.5906,54789,22629,37976,50398,80056,0.3450,0.4180,0.6640,33463,46593,16935,0,0,N/A,N/A,N/A,0,0,0,94840,92687,0.8368,0.9218,0.9008,85435,7252,9405,178552,270186,0.5560,0.5934,0.8980,160337,109849,18215,Rangeland,Developed,93853,Rangeland,Building,77208,Rangeland,Tree,42424
pointenoire_9.tif,train,1024,1024,988525,729625,258900,0.7381,0.2619,0.4813,0.7224,0.5846,2,Developed,96309,162591,193423,0.4979,0.2045,0,0,N/A,N/A,N/A,0,0,0,59462,1417,0.0103,0.4361,0.0104,618,799,58844,313429,403528,0.4968,0.5897,0.7592,237954,165574,75475,157379,95827,0.5467,0.9339,0.5687,89497,6330,67882,74732,60107,0.5874,0.8301,0.6676,49894,10213,24838,0,0,N/A,N/A,N/A,0,0,0,0,0,N/A,N/A,N/A,0,0,0,383523,427646,0.7653,0.8223,0.9169,351662,75984,31861,Developed,Building,66371,Road,Developed,66112,Rangeland,Developed,44556
khartoum_43.tif,train,650,650,422500,248301,174199,0.5877,0.4123,0.3266,0.4843,0.5910,2,Developed,23107,151092,40805,0.5663,0.3958,0,0,N/A,N/A,N/A,0,0,0,0,6661,0.0000,0.0000,N/A,0,6661,0,130386,101356,0.2493,0.4562,0.3546,46239,55117,84147,52193,29332,0.3960,0.7885,0.4431,23128,6204,29065,52266,93445,0.4381,0.4750,0.8493,44388,49057,7878,0,0,N/A,N/A,N/A,0,0,0,0,0,N/A,N/A,N/A,0,0,0,187655,191706,0.5496,0.7018,0.7170,134546,57160,53109,Developed,Building,51343,Building,Developed,37064,Developed,Tree,23987
lohur_35.tif,train,1024,1024,1048576,901144,147432,0.8594,0.1406,0.4229,0.7510,0.5218,1,Rangeland,25091,122341,41922,0.5985,0.1215,0,0,N/A,N/A,N/A,0,0,0,189924,149849,0.4711,0.7261,0.5729,108808,41041,81116,41312,20873,0.3746,0.8119,0.4102,16947,3926,24365,1499,3705,0.2219,0.2551,0.6304,945,2760,554,9328,2350,0.2129,0.8723,0.2198,2050,300,7278,1361,0,0.0000,N/A,0.0000,0,0,1361,793316,861159,0.8543,0.8851,0.9608,762231,98928,31085,11836,10640,0.8254,0.9552,0.8587,10163,477,1673,Rangeland,Agriculture,79300,Agriculture,Rangeland,30480,Developed,Agriculture,13822
pomorskie_30.tif,train,1024,1024,1048572,551031,497541,0.5255,0.4745,0.3599,0.6260,0.5576,6,Agriculture,39074,458467,63167,0.6186,0.4653,0,0,N/A,N/A,N/A,0,0,0,191499,562970,0.2756,0.2895,0.8511,162993,399977,28506,34196,73899,0.2540,0.2963,0.6404,21898,52001,12298,42478,50779,0.5858,0.6784,0.8110,34450,16329,8028,124231,87035,0.5595,0.8709,0.6102,75800,11235,48431,7864,0,0.0000,N/A,0.0000,0,0,7864,628113,255649,0.3808,0.9533,0.3880,243718,11931,384395,20191,18240,0.4635,0.6673,0.6028,12172,6068,8019,Agriculture,Rangeland,338025,Tree,Rangeland,38889,Agriculture,Developed,32842
western_22.tif,train,1024,1024,1048531,724555,323976,0.6910,0.3090,0.4868,0.7365,0.6591,1,Rangeland,75509,248467,154679,0.4882,0.2780,0,0,N/A,N/A,N/A,0,0,0,230491,36807,0.1459,0.9244,0.1476,34025,2782,196466,412955,500749,0.6131,0.6935,0.8409,347265,153484,65690,33169,25805,0.4497,0.7089,0.5515,18293,7512,14876,172241,267332,0.5747,0.6001,0.9314,160423,106909,11818,0,0,N/A,N/A,N/A,0,0,0,0,0,N/A,N/A,N/A,0,0,0,199675,217838,0.6505,0.7554,0.8241,164549,53289,35126,Rangeland,Tree,101687,Rangeland,Developed,94344,Developed,Building,52618
sechura_36.tif,train,1024,1024,1048576,850359,198217,0.8110,0.1890,0.5437,0.7653,0.6224,3,Road,54495,143722,115600,0.4714,0.1540,0,0,N/A,N/A,N/A,0,0,0,13332,3323,0.0923,0.4234,0.1055,1407,1916,11925,469052,583787,0.6875,0.7347,0.9145,428928,154859,40124,183074,116472,0.4920,0.8481,0.5396,98778,17694,84296,37376,29542,0.6406,0.8845,0.6991,26130,3412,11246,0,0,N/A,N/A,N/A,0,0,0,0,0,N/A,N/A,N/A,0,0,0,345742,315452,0.8062,0.9355,0.8536,295116,20336,50626,Road,Developed,83931,Building,Developed,50057,Developed,Building,19502
accra_53.tif,train,1024,1024,1048576,545680,502896,0.5204,0.4796,0.1201,0.2854,0.2573,5,Water,46783,456113,69625,0.6719,0.4659,13472,0,0.0000,N/A,0.0000,0,0,13472,630367,626400,0.5131,0.6804,0.6761,426185,200215,204182,0,114304,0.0000,0.0000,N/A,0,114304,0,0,56,0.0000,0.0000,N/A,0,56,0,36398,5260,0.0287,0.2209,0.0319,1162,4098,35236,368339,145942,0.2989,0.8108,0.3213,118333,27609,250006,0,156614,0.0000,0.0000,N/A,0,156614,0,0,0,N/A,N/A,N/A,0,0,0,Water,Rangeland,177168,Rangeland,Agriculture,94976,Rangeland,Developed,81435
tonga_36.tif,train,1024,1024,1048576,669044,379532,0.6381,0.3619,0.4279,0.7045,0.5657,4,Tree,114025,265507,190158,0.5996,0.3093,0,0,N/A,N/A,N/A,0,0,0,176433,210957,0.3153,0.4402,0.5264,92870,118087,83563,155595,344122,0.3446,0.3722,0.8231,128069,216053,27526,82782,64529,0.6392,0.8902,0.6939,57442,7087,25340,388074,204441,0.4462,0.8942,0.4711,182813,21628,205261,9452,0,0.0000,N/A,0.0000,0,0,9452,0,0,N/A,N/A,N/A,0,0,0,236240,224527,0.8218,0.9257,0.8798,207850,16677,28390,Tree,Rangeland,101732,Tree,Developed,98181,Rangeland,Developed,61023
santiago_9.tif,train,1024,1024,1048576,662404,386172,0.6317,0.3683,0.3508,0.4916,0.5662,1,Rangeland,61546,324626,102759,0.5989,0.3432,0,0,N/A,N/A,N/A,0,0,0,587786,391914,0.5464,0.8833,0.5889,346172,45742,241614,39691,111362,0.1430,0.1697,0.4762,18901,92461,20790,41003,50602,0.4647,0.5744,0.7089,29065,21537,11938,256553,270222,0.5757,0.7123,0.7502,192469,77753,64084,27045,10763,0.0950,0.3047,0.1212,3279,7484,23766,0,122698,0.0000,0.0000,N/A,0,122698,0,96498,91015,0.6306,0.7968,0.7515,72518,18497,23980,Rangeland,Agriculture,98510,Rangeland,Tree,71905,Rangeland,Developed,44977
